4.1,6.406,0
4.05,6.427,0
4.1,6.341,0
4.1,6.384,0
4.1,6.412,0
4.1,6.34,0
4.05,6.247,0
4.1,6.328,0
4.15,6.296,0
4.1,6.338,0
4.1,6.382,0
4.05,6.447,0
4.1,6.273,0
4.1,6.333,0
4.1,6.398,0
4.1,6.315,0
4.05,6.354,0
4.1,6.28,0
4.15,6.365,0
4.1,6.365,0
4.1,6.465,0
4.05,6.313,0
4.1,6.341,0
4.1,6.366,0
4.1,6.369,0
4.1,6.339,0
4.05,6.326,0
4.1,6.337,0
4.15,6.362,0
4.1,6.397,0
4.1,6.102,1
4.1,6.112,1
4.1,6.098,1
4.1,6.088,1
4.1,6.073,1
4.1,6.116,1
4.1,6.086,1
4.1,6.123,1
4.15,6.084,1
4.15,6.107,1
4.1,6.132,1
4.1,6.109,1
4.1,6.149,1
4.1,6.124,1
4.1,6.101,1
4.1,6.096,1
4.1,6.099,1
4.1,6.121,1
4.15,6.103,1
4.15,6.146,1
4.1,6.083,1
4.1,6.095,1
4.1,6.116,1
4.1,6.093,1
4.1,6.085,1
4.1,6.1,1
4.1,6.121,1
4.1,6.118,1
4.15,6.101,1
4.15,6.112,1
4.15,6.161,2
4.15,6.18,2
4.2,6.129,2
4.15,6.211,2
4.15,6.161,2
4.15,6.273,2
4.2,6.162,2
4.15,6.24,2
4.2,6.232,2
4.15,6.205,2
4.15,6.13,2
4.15,6.15,2
4.2,6.202,2
4.15,6.138,2
4.15,6.118,2
4.15,6.158,2
4.2,6.205,2
4.15,6.211,2
4.2,6.229,2
4.15,6.184,2
4.15,6.18,2
4.15,6.169,2
4.2,6.101,2
4.15,6.12,2
4.15,6.169,2
4.15,6.245,2
4.2,6.201,2
4.15,6.113,2
4.2,6.078,2
4.15,6.15,2
4.1,6.239,3
4.1,6.249,3
4.1,6.175,3
4.05,6.211,3
4.15,6.213,3
4.1,6.211,3
4.1,6.22,3
4.1,6.209,3
4.1,6.218,3
4.1,6.211,3
4.1,6.276,3
4.1,6.232,3
4.1,6.226,3
4.05,6.249,3
4.15,6.235,3
4.1,6.238,3
4.1,6.239,3
4.1,6.209,3
4.1,6.2,3
4.1,6.281,3
4.1,6.264,3
4.1,6.271,3
4.1,6.227,3
4.05,6.194,3
4.15,6.237,3
4.1,6.238,3
4.1,6.293,3
4.1,6.22,3
4.1,6.247,3
4.1,6.256,3
